"ccode","cname","year","ccodealp","ccodecow","p_durable","p_polity2_onset","d_p_polity2","arch_exit_any","arch_exit_reg","arch_exit_irreg","regime_change","regime_change_year","prevrc","democratization","duration","twincrisis","twincrisis2","triplecrisis","twincrisis_any","wr_regtype","military","personal","party","wr_monarchy","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch","gdppcgr_onset","d_gdppcgr_max","d_gdppcgr_total","d_gdppcgr","vdem_index","ers_onset","mi_onset","kaopen_onset","d_ers","d_mi","d_kaopen","ers_mi_onset","d_ers_mi","mi_kaopen_onset","d_mi_kaopen","ers_kaopen_onset","d_ers_kaopen","ers_mi_policy","mi_kaopen_policy","ers_kaopen_policy","latam","mideast","africa","asia","southeastasia","europe","exussr","time","time2"
"12","Algeria","1988-1991","DZA","615","26","-9","7","1","0","1","1","1992","0","0","26","1","1","1","1","7","1","0","1","0","party-military","1","0","0","0","-3.31327","-4.65859","-11.026615540727","-2.7566538851817","0.216925825","0.390913546","0.5","0","-0.30695237219334","0.0014774799346924","0.164809227","0.42037235877558","-0.11752794404477","0.6954111023589","-0.058025212948872","0.79784648273377","-0.11921562839117","0","1","0","0","1","0","0","0","0","0","1","4"
"12","Algeria","1994-1995","DZA","615","2","-7","4","1","1","0","0","","1","0","2","1","1","1","1","2","1","0","0","0","military","0","0","1","0","-4.48593","-3.05545","-1.3272721634927","-0.66363608174636","0.189835351","0.43192449212074","0.64633530378342","0.16480922698975","-0.33514308184385","0.080101191997528","0","0.33395337995575","-0.1830216303579","0.73787026735077","0.055003257874784","0.69716295337895","0.17390991565494","0","0","1","0","1","0","0","0","0","0","1","2"
"24","Angola","1991-2005","AGO","540","0","-7","5","0","0","0","0","","0","0","16","0","1","0","1","6","0","0","1","0","party-based","1","0","0","0","1.71102","-26.28907","19.214869728071","1.2809913152048","0.080091707","1","","","-0.98593009635806","","0.16480922698975","","","","","","","","","","0","0","1","0","0","0","0","1","15"
"24","Angola","2009-2010","AGO","540","12","-2","0","0","0","0","0","","0","0","34","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","10.63416","-0.45248","0.056606805949088","0.028303402974544","0.217877108","0.94363379478455","0.71077769994736","0","-0.658376545","-0.21016424894333","0","0.48325228294076","-0.21230283741005","0.84014627914398","-0.14431393706409","0.51103306768963","0.34163978182234","0","0","1","0","0","1","0","0","0","0","1","2"
"32","Argentina","1962","ARG","160","5","-1","0","1","0","1","0","","0","0","4","0","1","0","1","1","1","0","0","0","indirect military","0","0","1","0","5.43894","-3.14932","-3.1493241595159","-3.1493241595159","0.546438386","0.82026898860931","","","-0.725334026","","","","","","","","","","","","1","0","0","0","0","0","0","1","1"
"32","Argentina","1964-1965","ARG","160","7","-1","-8","1","0","1","1","1966","0","0","6","0","1","0","1","1","1","0","0","0","indirect military","0","0","1","0","-3.90671","7.50273","16.777879197434","8.3889395987169","0.551912635","0.18811435997486","","","0.137932077","","","","","","","","","","","","1","0","0","0","0","0","0","1","2"
"32","Argentina","1967","ARG","160","1","-9","0","0","0","0","0","","1","0","1","0","0","0","0","2","1","0","0","0","military","0","0","1","0","-0.78709","1.23956","1.239560333158","1.239560333158","0.326691747","0.20190799236298","","","0.798092008","","","","","","","","","","","","1","0","0","0","0","0","0","1","1"
"32","Argentina","1969-1971","ARG","160","3","-9","0","1","1","1","0","","1","0","3","0","0","0","0","2","1","0","0","0","military","0","0","1","0","2.79429","3.12205","7.000668994242","2.333556331414","0.112793716","1","","","-0.73919367790222","","-0.41280460357666","","","","","","","","","","1","0","0","0","0","0","0","1","3"
"32","Argentina","1977-1983","ARG","160","1","-9","17","1","1","1","1","1983","1","1","1","1","1","1","1","2","1","0","0","0","military","0","0","1","0","-1.9365399342525","-7.30468","-7.2584285887418","-1.0369183698203","0.075582212","0.040481436997652","0.40029519796371","0","0.56460477039218","0.22876507043839","0.412804574","0.42335756159899","-0.1608452150958","0.48160841017135","0.19544928116644","0.97969006488064","-0.49186305634859","0","1","0","1","0","0","0","0","0","0","1","7"
"31","Azerbaijan","1994-1995","AZE","373","0","-3","-3","0","0","0","0","","1","0","1","1","0","0","1","10","0","1","0","0","personal","0","1","0","0","-24.292009049338","-20.788904471829","-31.009709693254","-15.504854846627","0.39734","","0.49722394347191","","","-0.27440312457578","","","","","","","","","","","0","0","0","0","0","0","1","1","2"
