"ccode","cname","year","ccodealp","ccodecow","p_durable","p_polity2","arch_exit_any","arch_exit_reg","arch_exit_irreg","regime_change","regime_change2","prevrc","democratization","gwf_duration","duration","banking","banking_start","currency","BFFS_currency","currency_start","default","default_start","default_ext","default_dom","anyfincrisis_duration","anyfincrisis_start","twin_cb","twin_bc","twincrisis","twin_cd","twin_dc","twincrisis2","triplecrisis","wr_regtype","wr_military","wr_personal","wr_party","wr_monarchy","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch","gdppcgr","gdppcgr2","pwt_gdppcgr","mad_gdppcgr","vdem_index","wdi_gdpgr","wdi_gdppcgr","ers_ma","mi_ma","kaopen_ma","d_ers_ma","d_mi_ma","d_kaopen_ma2","d_kaopen_ma","ers","mi","kaopen","d_ers","d_mi","d_kaopen","ers_mi","d_ers_mi","mi_kaopen","d_mi_kaopen","ers_kaopen","d_ers_kaopen","ers_mi_ma","d_ers_mi_ma","mi_kaopen_ma","d_mi_kaopen_ma2","d_mi_kaopen_ma","ers_kaopen_ma","d_ers_kaopen_ma","ers_mi_dummy","mi_kaopen_dummy","ers_kaopen_dummy","latam","mideast","africa","asia","southeastasia","europe","exussr"
"12","Algeria","1963","DZA","615","1","-8","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","31.00799949","21.52227065","21.52227065","","0.20087991","34.31372877","31.00799949","1","","","0","","","","1","","","0","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1964","DZA","615","2","-8","0","0","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","2.15656","6.065803143","6.065803143","2.15656","0.194384928","5.839413012","3.163785742","1","","","0","","","","1","","","0","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1965","DZA","615","3","-9","1","0","1","0","0","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","3.53265","5.773007444","5.773007444","3.53265","0.150158412","6.206898209","3.42298358","1","","","0","","","","1","","","0","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1966","DZA","615","4","-9","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","-7.72952","-8.561072879","-8.561072879","-7.72952","0.087658412","-4.80497094","-7.396128865","1","","","0","","","","1","","","0","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1967","DZA","615","5","-9","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","5.73925","8.724722985","8.724722985","5.73925","0.087658412","9.452962559","6.388193678","1","","","0","","","","1","","","0","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1968","DZA","615","6","-9","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","8.40169","7.398381042","7.398381042","8.40169","0.087658412","10.79623858","7.650870675","1","","","0","","","","1","","","0","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1969","DZA","615","7","-9","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","6.47624","5.013176294","5.013176294","6.47624","0.087658412","8.433280276","5.366409003","1","","","0","","","","1","","","0","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1970","DZA","615","8","-9","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","6.82622","6.765273064","6.765273064","6.82622","0.087658412","8.862657113","5.82800707","1","","","0","","","","1","","0","0","","","","","","","0.48178394238805","","","","","","","","","","","","0","1","0","0","0","0","0"
"12","Algeria","1971","DZA","615","9","-9","0","0","0","0","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","-11.09567","-14.7163519","-14.7163519","-11.09567","0.088134018","-11.33171916","-13.76224333","1","","0.082404613494873","0","","","","1","","0.16480922698975","0","","0.164809227","","","","","0.402381503267","-0.079402439121047","","","","","","0.44208272282752","","","","","0","1","0","0","0","0","0"
"12","Algeria","1972","DZA","615","10","-9","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","17.512","22.59777663","22.59777663","17.512","0.088134018","27.42396948","23.96858623","0.76569479703903","","0.082404613494873","-0.23430520296097","","0","-0.0824046135","0.53138959407806","","0","-0.468610406","","-0.164809227","","","","","0.72495171336081","0.32257021009381","","","","","","0.56366660831391","0.12158388548638","","","","0","1","0","0","0","0","0"
